Taxa	Counts
[Eubacterium] coprostanoligenes group	1431
[Eubacterium] eligens group	274
[Eubacterium] oxidoreducens group	1164
[Ruminococcus] torques group	483
Acetitomaculum	62
Agathobacter	539
Akkermansia	85
Alistipes	8
Anaerosporobacter	20
Blautia	3686
Campylobacter	11
Candidatus Soleaferrea	14
Christensenellaceae R-7 group	3386
Coprococcus 3	141
DNF00809	76
Enterorhabdus	252
Faecalibacterium	43
Family XIII AD3011 group	116
Family XIII UCG-001	170
Fibrobacter	593
Intestinibacter	14
Intestinimonas	38
Lachnoclostridium	2239
Lachnoclostridium 10	153
Lachnospiraceae AC2044 group	1388
Lachnospiraceae NC2004 group	156
Lachnospiraceae ND3007 group	52
Lachnospiraceae NK4A136 group	1215
Lachnospiraceae UCG-001	353
Lachnospiraceae UCG-008	299
Lachnospiraceae XPB1014 group	36
Marvinbryantia	188
Olsenella	72
Olsenella sp. Marseille-P3359	48
Papillibacter	15
Peptococcus	29
Roseburia	1679
Ruminiclostridium	333
Ruminiclostridium 5	95
Ruminiclostridium 6	1037
Ruminiclostridium 9	324
Ruminococcaceae NK4A214 group	4218
Ruminococcaceae UCG-002	352
Ruminococcaceae UCG-005	11521
Ruminococcaceae UCG-009	274
Ruminococcaceae UCG-010	575
Ruminococcaceae UCG-011	494
Ruminococcaceae UCG-013	2343
Ruminococcaceae UCG-014	7550
Ruminococcus 1	2445
Ruminococcus 2	3125
Syntrophococcus	13
Tyzzerella 4	56
Unclassified	11667
uncultured Coriobacteriaceae bacterium	86
