Taxa	Counts
[Bacteroides] pectinophilus group	28
[Eubacterium] coprostanoligenes group	34
[Eubacterium] hallii group	7
28-4	4
A2	15
Acetatifactor	3
Acetitomaculum	10
Alistipes	181
Anaeroplasma	27
Anaerostipes	96
Bacteroides	103
Blautia	5
Butyricicoccus	18
Coprococcus 2	375
Coprococcus 3	4
Desulfovibrio	31
Enterorhabdus	6
GCA-900066575	34
gut metagenome	70
Lachnoclostridium	16
Lachnospiraceae FCS020 group	5
Lachnospiraceae NK4A136 group	1955
Lachnospiraceae UCG-001	543
Lachnospiraceae UCG-006	35
Lactobacillus	75
Mucispirillum	50
Muribaculum	28
Odoribacter	9
Oscillibacter	312
Oxalobacter	2
Prevotella 9	3
Prevotellaceae UCG-001	37
Roseburia	143
Ruminiclostridium	103
Ruminiclostridium 5	24
Ruminiclostridium 6	4
Ruminiclostridium 9	305
Ruminococcaceae UCG-003	14
Ruminococcaceae UCG-005	13
Ruminococcaceae UCG-009	25
Ruminococcaceae UCG-010	2
Ruminococcaceae UCG-014	106
Ruminococcus 1	116
Treponema 2	46
UBA1819	7
Unclassified	5102
uncultured bacterium	2128
uncultured Bacteroidales bacterium	360
unidentified	5
