Taxa	Counts
[Anaerorhabdus] furcosa group	42
[Eubacterium] coprostanoligenes group	7109
[Eubacterium] nodatum group	37
[Eubacterium] oxidoreducens group	39
[Eubacterium] ruminantium group	112
[Ruminococcus] gauvreauii group	46
28-4	24
Agathobacter	11
Aliicoccus	15
Aliidiomarina	122
Alistipes	4485
Alkalibacterium	42
Amphibacillus	30
Anaerostipes	16
Anaerovorax	28
Atopostipes	1044
Bacteroides	2291
Blautia	108
Brevundimonas	11
Candidatus Soleaferrea	291
Candidatus Stoquefichus	16
Catenisphaera	19
Christensenellaceae R-7 group	1987
Clostridium sensu stricto 1	38
Coprococcus 2	105
Coprococcus 3	290
Corynebacterium 1	111
Demequina	16
dgA-11 gut group	1714
Dielma	26
Dorea	22
Eisenbergiella	24
Erysipelotrichaceae UCG-004	38
Erysipelotrichaceae UCG-009	74
Facklamia	40
Faecalibacterium	19
Flaviflexus	15
GCA-900066575	14
Halocynthiibacter	10
Halomonas	179
Hydrogenoanaerobacterium	37
Jeotgalicoccus	171
Kandleria	377
Lachnoclostridium	97
Lachnoclostridium 10	109
Lachnospiraceae AC2044 group	461
Lachnospiraceae FCS020 group	208
Lachnospiraceae NK3A20 group	17
Lachnospiraceae NK4A136 group	796
Lachnospiraceae NK4B4 group	9
Lachnospiraceae UCG-001	20
Lachnospiraceae UCG-008	70
Lacticigenium	20
Mailhella	110
Marvinbryantia	21
Meridianimaribacter	16
Methylobacterium	38
Motilimonas	66
Negativibacillus	49
Nocardia	16
Oceanobacillus	27
Olsenella	36
Parasutterella	36
Phascolarctobacterium	78
Planococcus	16
Prevotella 1	7
Prevotellaceae Ga6A1 group	47
Prevotellaceae UCG-004	907
Rikenellaceae RC9 gut group	1065
Roseburia	196
Roseovarius	7
Ruminiclostridium	60
Ruminiclostridium 1	155
Ruminiclostridium 6	394
Ruminiclostridium 9	137
Ruminococcaceae NK4A214 group	559
Ruminococcaceae UCG-002	37
Ruminococcaceae UCG-005	3556
Ruminococcaceae UCG-007	13
Ruminococcaceae UCG-008	22
Ruminococcaceae UCG-009	246
Ruminococcaceae UCG-010	4754
Ruminococcaceae UCG-011	53
Ruminococcaceae UCG-013	455
Ruminococcaceae UCG-014	866
Ruminococcus 1	766
Ruminococcus 2	230
Salinicoccus	56
Shewanella	62
Shuttleworthia	13
Spongiimonas	14
Sporosarcina	276
Treponema 2	2237
Tyzzerella 4	220
Unclassified	5808
uncultured bacterium	1683
uncultured Kordiimonas sp.	16
uncultured rumen bacterium	16
Vibrio	36
Yaniella	34
