Taxa	Counts
[Anaerorhabdus] furcosa group	13
[Eubacterium] coprostanoligenes group	691
Akkermansia	247
Anaerovorax	1630
Campylobacter	38
Candidatus Soleaferrea	151
Christensenellaceae R-7 group	508
dgA-11 gut group	204
Erysipelotrichaceae UCG-004	35
Eubacterium	42
Family XIII AD3011 group	291
Fibrobacter	93
GCA-900066225	49
hoa5-07d05 gut group	105
Lachnoclostridium 10	85
Lachnospiraceae AC2044 group	205
Lachnospiraceae NC2004 group	68
Lachnospiraceae ND3007 group	294
Lachnospiraceae NK4A136 group	340
Lachnospiraceae UCG-009	430
Lachnospiraceae XPB1014 group	57
Lactobacillus	19
Methanocorpusculum	310
Oribacterium	153
Oscillibacter	31
Papillibacter	355
Phascolarctobacterium	526
Prevotella 1	794
Prevotellaceae UCG-001	89
Prevotellaceae UCG-003	158
Prevotellaceae UCG-004	536
Rikenellaceae RC9 gut group	14766
Ruminococcaceae NK4A214 group	1143
Ruminococcaceae UCG-002	1840
Ruminococcaceae UCG-005	485
Ruminococcaceae UCG-010	1577
Ruminococcaceae UCG-011	17
Ruminococcaceae UCG-013	62
Ruminococcaceae UCG-014	874
Ruminococcaceae V9D2013 group	106
Ruminococcus 1	305
Ruminococcus 2	12
Saccharofermentans	56
SP3-e08	92
Treponema 2	680
Unclassified	16739
uncultured bacterium	6858
uncultured rumen bacterium	166
