Taxa	Counts
[Anaerorhabdus] furcosa group	24
[Eubacterium] coprostanoligenes group	1594
[Eubacterium] eligens group	54
[Eubacterium] hallii group	13
[Eubacterium] nodatum group	78
[Eubacterium] oxidoreducens group	114
[Eubacterium] ruminantium group	23
[Eubacterium] ventriosum group	117
[Ruminococcus] torques group	110
Acetitomaculum	11
Agathobacter	670
Akkermansia	58
Alistipes	347
Alloprevotella	42
Anaerovibrio	16
Anaerovorax	12
Bacteroides	2413
Candidatus Soleaferrea	103
Christensenellaceae R-7 group	3536
Coprococcus 2	57
Coprococcus 3	122
Defluviitaleaceae UCG-011	46
Dorea	106
Eisenbergiella	162
Erysipelatoclostridium	40
Faecalibacterium	18
Family XIII AD3011 group	146
Hydrogenoanaerobacterium	28
Intestinimonas	76
Lachnoclostridium 10	450
Lachnoclostridium 5	79
Lachnospiraceae AC2044 group	571
Lachnospiraceae FCS020 group	147
Lachnospiraceae NC2004 group	251
Lachnospiraceae NK3A20 group	31
Lachnospiraceae NK4A136 group	668
Lachnospiraceae UCG-001	27
Lachnospiraceae UCG-008	206
Lachnospiraceae UCG-009	53
Lachnospiraceae UCG-010	42
Mailhella	107
Methanobrevibacter	73
Methanosphaera	25
Negativibacillus	44
Oscillibacter	51
Oscillospira	49
Paeniclostridium	38
Papillibacter	38
Parvibacter	26
Phascolarctobacterium	41
Prevotella 1	716
Prevotellaceae UCG-001	14
Prevotellaceae UCG-003	101
Prevotellaceae UCG-004	2179
Rikenellaceae RC9 gut group	2321
Romboutsia	62
Roseburia	1644
Ruminiclostridium	157
Ruminiclostridium 1	46
Ruminiclostridium 5	39
Ruminiclostridium 6	109
Ruminiclostridium 9	176
Ruminobacter	55
Ruminococcaceae NK4A214 group	366
Ruminococcaceae UCG-002	451
Ruminococcaceae UCG-004	30
Ruminococcaceae UCG-005	16947
Ruminococcaceae UCG-009	396
Ruminococcaceae UCG-010	2612
Ruminococcaceae UCG-011	150
Ruminococcaceae UCG-013	1559
Ruminococcaceae UCG-014	509
Ruminococcus 1	1619
Ruminococcus 2	74
Sporobacter	32
Succinivibrio	43
Treponema 2	55
Tyzzerella 4	298
Unclassified	6755
uncultured bacterium	911
uncultured Bacteroidales bacterium	26
uncultured Parabacteroides sp.	23
uncultured Porphyromonadaceae bacterium	35
