Taxa	Counts
[Anaerorhabdus] furcosa group	73
Acinetobacter	4026
Aeromonas	538
Akkermansia	62
Arthrobacter	1656
Bacteroides	367
Buttiauxella	819
Cetobacterium	62
Chryseobacterium	558
Citrobacter	5909
Clostridioides	9
Comamonas	66
Elizabethkingia	103
Empedobacter	101
Enterobacter	4619
Enterococcus	147
Erysipelatoclostridium	34
Eubacterium	20
Flavobacterium	88
Gordonibacter	9
Hafnia-Obesumbacterium	354
Klebsiella	93
Koukoulia	30
Lachnoclostridium	7
Lactococcus	27
Lelliottia	388
Microbacterium	225
Mobilitalea	9
Morganella	1435
Myroides	8448
Paenarthrobacter	33
Providencia	371
Pseudarthrobacter	50
Pseudomonas	4910
Rhodococcus	29
Shewanella	589
Stenotrophomonas	16
Unclassified	7143
Vagococcus	5112
