Taxa	Counts
Achromobacter	92
Acidovorax	730
Acinetobacter	1486
Aetherobacter	96
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	246
Arsenicitalea	56
Asticcacaulis	186
Azospirillum	110
Bacteriovorax	116
Brevundimonas	138
Caulobacter	108
Cedecea	136
Cellvibrio	228
Chryseobacterium	476
Citrobacter	14
Clostridium sensu stricto 1	114
Clostridium sensu stricto 9	164
Comamonas	2216
Cytophaga	36
Devosia	200
Diaphorobacter	44
Duganella	76
Dyadobacter	470
Dysgonomonas	148
Enterobacter	1238
Escherichia-Shigella	590
Ferruginibacter	14
Flavobacterium	10666
Frondihabitans	240
Galbitalea	58
Gemmatimonas	24
Hafnia-Obesumbacterium	296
Herbaspirillum	40
Herminiimonas	134
Janthinobacterium	666
Kaistia	74
Klebsiella	108
Lachnoclostridium	56
Lachnoclostridium 5	12
Legionella	22
Limnohabitans	452
Luteolibacter	48
Massilia	1610
metagenome	72
Methylophilus	184
Methylotenera	84
Morganella	38
Mucilaginibacter	178
Noviherbaspirillum	46
Novosphingobium	26
Ochrobactrum	456
Paenibacillus	50
Pectobacterium	176
Pedobacter	3242
Pelomonas	214
Pelosinus	30
Phenylobacterium	18
Polaromonas	60
Providencia	116
Pseudochrobactrum	326
Pseudoduganella	70
Pseudomonas	9864
Pseudorhodoferax	80
Rahnella	502
Ramlibacter	32
Raoultella	44
Rhizobacter	114
Rhodoferax	846
Rhodopseudomonas	82
Roseateles	134
Sanguibacter	42
Serratia	6846
Soonwooa	26
Sphingobacterium	308
Sphingobium	60
Sphingomonas	18
Spirosoma	30
Stenotrophomonas	44
Uliginosibacterium	16
Unclassified	2224
uncultured bacterium	74
uncultured Bacteroidetes bacterium	36
Undibacterium	114
Variovorax	274
