Taxa	Counts
Acidovorax	97
Advenella	13
Aeromicrobium	8
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	9
Arthrobacter	19
Brevundimonas	1825
Chryseobacterium	385
Clostridium sensu stricto 1	28
Conyzicola	11
Cryobacterium	10
Defluviimonas	7
Devosia	20
Duganella	73
Dyadobacter	893
Flavobacterium	1688
Gemmobacter	342
Giesbergeria	4
Janthinobacterium	124
Kaistia	24
Limnohabitans	4
Luteolibacter	51
Massilia	36
Mucilaginibacter	6
Myroides	60
Noviherbaspirillum	14
Novosphingobium	7
Paenibacillus	18
Pedobacter	5572
Polaromonas	17
Pseudarthrobacter	11
Pseudochrobactrum	33
Pseudomonas	3962
Rhodoferax	2918
Rubellimicrobium	50
Sphingobacterium	30
Sphingomonas	50
Sphingopyxis	805
Stenotrophomonas	7
Subtercola	160
Tardiphaga	863
Unclassified	64
Variovorax	25
