"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Anaerorhabdus] furcosa group" 0.0714328871930939 0.0606190649298583 0.00822948889892325 0.0286028857359769
"2" "[Eubacterium] brachy group" 0 0 0.0194980101699555 0.0893511075048399
"3" "[Eubacterium] coprostanoligenes group" 3.68103774468515 2.52995659711491 5.46749686063684 2.05766258867739
"4" "[Eubacterium] hallii group" 0.0379999247906963 0.0554860387058586 0.0719093414648227 0.120279422562871
"5" "[Eubacterium] nodatum group" 0.00562927948851522 0.0165792342330908 0 0
"6" "[Eubacterium] oxidoreducens group" 0.0142695790824763 0.0336803819424872 0 0
"7" "[Eubacterium] ruminantium group" 0.018702932418397 0.0544399352138726 0.0130731572070863 0.0334966803263606
"8" "[Eubacterium] saphenum group" 0 0 0.00442282176028306 0.020267915501795
"9" "[Eubacterium] ventriosum group" 0.00916354917055426 0.0241774915183505 0 0
"10" "Acetitomaculum" 0 0 0.184017670768482 0.224571853846715
"11" "Achromobacter" 0 0 0.00154951074198322 0.00710075026528529
"12" "Actinobacillus" 0 0 0.0088034694936615 0.0403425653329384
"13" "Agathobacter" 0.00926872486203194 0.0307610342868498 0.215348935295787 0.257306432335215
"14" "Akkermansia" 1.0521545105653 1.55952178061938 0.442711546855048 0.491144293513999
"15" "Alistipes" 0.0313041431290773 0.0822939994830244 0.308141342493523 0.456367007688019
"16" "Alloprevotella" 0.183156991121021 0.320836931837133 0.0456238330248418 0.120146087154925
"17" "Anaerofustis" 0 0 0.00964021283554451 0.0305123128994538
"18" "Anaerosporobacter" 0 0 0.1146272254396 0.249704831848899
"19" "Anaerovibrio" 0.00434973372064875 0.0184543572613592 0.0285675294023474 0.0549348157322877
"20" "Anaerovorax" 4.13830093767031 1.10909318566012 2.01262958945054 1.52616718387374
"21" "Atopostipes" 0 0 0.00206601432264429 0.00946766702038038
"22" "Bacteroides" 0.0107836785671514 0.0357702364146989 0.0171892622220905 0.0458467009620576
"23" "Blautia" 0 0 0.0182521985874191 0.0466718673286704
"24" "Caldicoprobacter" 0 0 0.00348639916946224 0.0159766880968919
"25" "Campylobacter" 0.157680323902335 0.252177948646411 0.351892002747267 0.314886575978584
"26" "Candidatus Soleaferrea" 1.13550569178488 0.454752488927038 0.637899918293905 0.517937032815345
"27" "Castellaniella" 0 0 0.00413202864528858 0.0189353340407608
"28" "Christensenellaceae R-7 group" 2.85753208935882 0.821061965301422 3.529455902869 1.61885195997791
"29" "Clostridium sensu stricto 1" 0.0519242842482065 0.0960352438830381 2.12847309120498 3.61099127692623
"30" "Comamonas" 0 0 0.0056815393872718 0.0260360843060461
"31" "Coprococcus 2" 0 0 0.0082859098558945 0.0228833074517183
"32" "Corynebacterium 1" 0 0 0.00361552506462751 0.0165684172856657
"33" "Defluviitaleaceae UCG-011" 0 0 0.0130532780166956 0.041577706086477
"34" "Delftia" 0 0 0.0085223090809077 0.0390541264590691
"35" "Desulfurispora" 0.0256706311551662 0.0539570045251414 0 0
"36" "dgA-11 gut group" 0.274654387788806 0.200182897001351 0.527971149874205 0.343729542758886
"37" "Eisenbergiella" 0 0 0.00709539002356711 0.0179361299237248
"38" "Elusimicrobium" 0.024135207805793 0.0591428300430059 0.0788698248189305 0.168472912586063
"39" "Enhydrobacter" 0.00363238782278306 0.0154109163683361 0 0
"40" "Erysipelatoclostridium" 0 0 0.0322430906153195 0.0745005371340815
"41" "Erysipelotrichaceae UCG-004" 0.341701736582257 0.495874211030706 0.518963800139235 0.900180692847242
"42" "Eubacterium" 0.0392383272759784 0.0718123621684963 0.0845730867455875 0.104482905208793
"43" "Faecalitalea" 0.00818115134516983 0.0238643466913973 0 0
"44" "Family XIII AD3011 group" 0.659782007121616 0.323310116786231 0.823166129265418 0.610877180110484
"45" "Family XIII UCG-001" 0.00238429038749487 0.0101156874078932 0.00219514021780956 0.0100593962091542
"46" "FD2005" 0.00527159244264507 0.0223654725830765 0.0129946509606641 0.0459135163874039
"47" "Fibrobacter" 0.846674970443053 1.57107345633309 1.60372246006177 3.29270650414136
"48" "Fusobacterium" 0 0 0.00294854784018871 0.0135119436678633
"49" "GCA-900066225" 0.174902474951696 0.0661181795959804 0.00481459188038961 0.0152571663301794
"50" "GCA-900066575" 0.0890866085731368 0.171357545281723 0.00352294800288882 0.0161441758926315
"51" "Gillisia" 0 0 0.0254659936322682 0.0810634945996467
"52" "Halomonas" 0.00210863697705803 0.00894618903323061 0 0
"53" "hoa5-07d05 gut group" 0.13103607614786 0.176788775474757 0.880872075001814 1.09221678756602
"54" "horsej-a03" 0 0 0.0234346740646746 0.0627559656548592
"55" "Hydrogenoanaerobacterium" 0 0 0.0033706114081297 0.0108587730296436
"56" "Janibacter" 0 0 0.00258251790330536 0.0118345837754755
"57" "Lachnoclostridium 10" 0.855484534850713 1.35217473088634 0.131628897821047 0.369513825015951
"58" "Lachnoclostridium 12" 0.00418179533848761 0.0135626242696209 0 0
"59" "Lachnoclostridium 5" 0 0 0.111590662216749 0.178163136272679
"60" "Lachnospiraceae AC2044 group" 1.84161396964382 1.41439872143799 4.89145466051612 4.32345082782898
"61" "Lachnospiraceae FCS020 group" 0.184430982295656 0.56674838233632 0.00232426611297483 0.0106511253979279
"62" "Lachnospiraceae NC2004 group" 0.0340504376482703 0.0640940232016924 0.0149234249376227 0.0353380404335474
