Taxa	Counts
[Eubacterium] coprostanoligenes group	709
Alistipes	376
Bacteroides	1151
Christensenellaceae R-7 group	712
dgA-11 gut group	167
Family XIII AD3011 group	82
Lachnoclostridium 10	20
Lachnospiraceae UCG-010	44
Lactobacillus	14
Oscillibacter	49
Oscillospira	43
Prevotella 1	72
Prevotellaceae UCG-001	51
Prevotellaceae UCG-003	245
Prevotellaceae UCG-004	516
Rikenellaceae RC9 gut group	1644
Roseburia	39
Ruminococcaceae NK4A214 group	194
Ruminococcaceae UCG-002	235
Ruminococcaceae UCG-004	70
Ruminococcaceae UCG-005	4832
Ruminococcaceae UCG-009	159
Ruminococcaceae UCG-010	546
Ruminococcaceae UCG-013	644
Ruminococcaceae UCG-014	28
Ruminococcus 1	109
Tyzzerella 4	176
Unclassified	1312
uncultured bacterium	1775
uncultured Bacteroidales bacterium	92
uncultured Porphyromonadaceae bacterium	134
uncultured rumen bacterium	114
